104.27.98.200:8443 ping=169ms
172.65.12.182:2087 ping=169ms
172.65.12.182:8443 ping=169ms
172.67.105.44:2053 ping=169ms
172.67.105.44:2096 ping=169ms
172.67.98.22:2053 ping=169ms
172.67.65.119:2096 ping=169ms
172.65.177.77:2096 ping=169ms
172.64.144.130:2083 ping=169ms
172.67.203.231:2087 ping=169ms
172.65.125.237:2053 ping=169ms
173.245.58.160:2087 ping=170ms
173.245.58.160:2096 ping=170ms
173.245.49.250:2083 ping=170ms
173.245.58.239:2053 ping=170ms
173.245.58.147:2083 ping=170ms
173.245.59.63:8443 ping=170ms
173.245.59.177:2087 ping=170ms
141.101.115.5:2096 ping=170ms
141.101.123.136:2053 ping=170ms
141.101.115.35:2083 ping=170ms
108.162.192.16:2053 ping=170ms
190.93.247.33:2053 ping=170ms
190.93.244.190:8443 ping=170ms
190.93.246.86:2087 ping=170ms
188.114.97.80:2083 ping=170ms
198.41.223.115:2053 ping=170ms
198.41.195.85:2083 ping=170ms
162.159.58.198:2096 ping=170ms
162.159.155.40:2053 ping=170ms
162.159.159.122:2087 ping=170ms
104.18.121.153:2087 ping=170ms
104.18.247.168:2096 ping=170ms
104.17.15.133:2087 ping=170ms
104.18.136.145:2087 ping=170ms
104.16.144.132:2096 ping=170ms
104.17.40.123:2053 ping=170ms
104.17.40.123:2096 ping=170ms
104.19.160.115:2053 ping=170ms
104.19.160.115:2083 ping=170ms
104.16.73.230:8443 ping=170ms
104.18.69.34:2087 ping=170ms
104.24.240.218:2053 ping=170ms
104.27.78.66:2053 ping=170ms
104.25.174.120:2053 ping=170ms
104.25.174.120:2096 ping=170ms
104.24.63.243:8443 ping=170ms
104.27.91.152:2083 ping=170ms
104.27.94.13:2087 ping=170ms
104.24.129.138:2087 ping=170ms
104.27.39.137:8443 ping=170ms
104.24.133.162:2053 ping=170ms
104.24.134.214:2053 ping=170ms
172.65.251.238:2053 ping=170ms
172.67.65.119:2053 ping=170ms
172.65.177.77:8443 ping=170ms
172.66.216.112:2087 ping=170ms
172.64.47.140:2083 ping=170ms
172.67.203.231:2053 ping=170ms
172.65.214.173:2083 ping=170ms
172.65.58.181:2053 ping=170ms
173.245.58.94:2087 ping=171ms
188.114.97.37:2053 ping=171ms
162.159.130.179:2053 ping=171ms
162.159.58.198:2053 ping=171ms
104.16.52.110:2087 ping=171ms
104.19.130.97:2053 ping=171ms
104.18.247.168:2053 ping=171ms
104.18.136.145:2053 ping=171ms
104.25.67.66:2083 ping=171ms
104.17.191.32:2053 ping=171ms
104.24.221.184:8443 ping=171ms
104.27.64.34:2096 ping=171ms
104.27.94.13:8443 ping=171ms
104.24.254.196:8443 ping=171ms
104.24.133.162:2083 ping=171ms
104.24.133.162:8443 ping=171ms
104.27.192.178:2053 ping=171ms
172.67.151.208:2053 ping=171ms
172.67.151.208:2096 ping=171ms
198.41.201.43:2096 ping=172ms
198.41.196.164:8443 ping=172ms
162.159.196.15:2087 ping=172ms
104.16.19.163:2096 ping=172ms
104.27.78.66:8443 ping=172ms
104.25.230.171:8443 ping=172ms
104.27.67.217:2083 ping=172ms
162.159.6.60:2053 ping=173ms
104.25.14.212:2096 ping=173ms
104.24.134.214:2087 ping=173ms
173.245.58.160:443 ping=174ms
104.19.93.226:2096 ping=174ms
104.16.73.230:2083 ping=174ms
104.21.110.178:2053 ping=174ms
172.64.188.188:2053 ping=174ms
198.41.195.85:2096 ping=175ms
104.19.160.115:2087 ping=175ms
104.18.69.34:2083 ping=175ms
104.25.230.171:2096 ping=175ms
172.64.188.188:2083 ping=175ms
198.41.201.43:8443 ping=176ms
162.159.12.1:8443 ping=176ms
104.19.130.97:2083 ping=176ms
104.27.67.217:2087 ping=176ms
141.101.115.35:2087 ping=177ms
188.114.99.121:2083 ping=177ms
162.159.196.15:2096 ping=177ms
104.17.200.89:2053 ping=177ms
104.17.40.123:2087 ping=177ms
104.17.7.152:2087 ping=177ms
104.17.191.32:8443 ping=177ms
104.24.134.214:2096 ping=177ms
172.65.58.181:2096 ping=177ms
173.245.49.250:8443 ping=178ms
173.245.58.114:8443 ping=178ms
173.245.58.239:2083 ping=178ms
173.245.58.147:2087 ping=178ms
173.245.59.177:2096 ping=178ms
141.101.123.136:2087 ping=178ms
108.162.196.210:2096 ping=178ms
108.162.198.171:2053 ping=178ms
108.162.198.171:2096 ping=178ms
108.162.198.108:2087 ping=178ms
190.93.247.33:2087 ping=178ms
190.93.247.33:2096 ping=178ms
190.93.246.79:2087 ping=178ms
190.93.244.76:2087 ping=178ms
190.93.245.196:2087 ping=178ms
188.114.97.193:2087 ping=178ms
188.114.98.76:2053 ping=178ms
188.114.97.93:2096 ping=178ms
198.41.197.226:2087 ping=178ms
198.41.223.115:8443 ping=178ms
162.159.6.60:8443 ping=178ms
162.159.58.198:2083 ping=178ms
162.159.143.90:8443 ping=178ms
104.16.52.110:2096 ping=178ms
104.16.10.104:2096 ping=178ms
104.18.247.168:2087 ping=178ms
104.19.80.137:2096 ping=178ms
104.16.20.189:2083 ping=178ms
104.19.93.226:2083 ping=178ms
104.16.19.163:8443 ping=178ms
104.24.163.27:2087 ping=178ms
104.25.67.66:2087 ping=178ms
104.17.191.32:2083 ping=178ms
104.24.221.184:2053 ping=178ms
104.25.212.117:2053 ping=178ms
104.24.63.243:2096 ping=178ms
104.27.64.34:2087 ping=178ms
104.25.14.212:2083 ping=178ms
104.24.254.196:2096 ping=178ms
104.27.67.217:2096 ping=178ms
104.24.134.214:2083 ping=178ms
172.64.188.188:2087 ping=178ms
172.65.177.77:2053 ping=178ms
172.64.144.130:2053 ping=178ms
172.65.215.186:2053 ping=178ms
172.65.215.186:2083 ping=178ms
173.245.58.94:2083 ping=179ms
173.245.58.94:8443 ping=179ms
173.245.58.147:2053 ping=179ms
173.245.59.177:2053 ping=179ms
173.245.58.166:2053 ping=179ms
173.245.58.166:2096 ping=179ms
141.101.115.5:8443 ping=179ms
141.101.123.136:2083 ping=179ms
141.101.115.35:2096 ping=179ms
108.162.196.210:8443 ping=179ms
108.162.192.16:2087 ping=179ms
108.162.193.176:2083 ping=179ms
108.162.193.176:2096 ping=179ms
108.162.193.176:8443 ping=179ms
108.162.198.108:2053 ping=179ms
190.93.244.219:8443 ping=179ms
190.93.245.196:2096 ping=179ms
188.114.98.164:8443 ping=179ms
188.114.97.193:2053 ping=179ms
188.114.98.54:2096 ping=179ms
188.114.97.93:2053 ping=179ms
188.114.97.93:2083 ping=179ms
188.114.97.37:2087 ping=179ms
198.41.197.226:443 ping=179ms
198.41.197.226:2083 ping=179ms
198.41.216.56:2087 ping=179ms
198.41.216.56:2096 ping=179ms
198.41.223.115:2083 ping=179ms
198.41.195.85:8443 ping=179ms
162.159.6.60:2096 ping=179ms
162.159.132.93:2096 ping=179ms
162.159.132.93:8443 ping=179ms
162.159.155.40:2087 ping=179ms
162.159.155.40:8443 ping=179ms
162.159.16.99:8443 ping=179ms
162.159.159.122:2053 ping=179ms
104.21.86.163:2083 ping=179ms
104.16.10.104:2083 ping=179ms
104.18.121.153:2053 ping=179ms
104.19.59.117:2087 ping=179ms
104.19.59.117:8443 ping=179ms
104.17.248.125:8443 ping=179ms
104.19.80.137:2053 ping=179ms
104.17.15.133:2083 ping=179ms
104.17.15.133:2096 ping=179ms
104.17.70.56:2083 ping=179ms
104.16.144.132:8443 ping=179ms
104.17.193.116:2053 ping=179ms
104.17.193.116:2083 ping=179ms
104.21.59.160:2087 ping=179ms
104.21.59.160:8443 ping=179ms
104.17.40.123:8443 ping=179ms
104.19.160.115:2096 ping=179ms
104.19.160.115:8443 ping=179ms
104.17.7.152:8443 ping=179ms
104.18.69.34:8443 ping=179ms
104.24.16.18:2053 ping=179ms
104.24.16.18:2083 ping=179ms
104.24.163.27:2083 ping=179ms
104.24.163.27:2096 ping=179ms
104.24.163.27:8443 ping=179ms
104.25.67.66:2053 ping=179ms
104.25.67.66:8443 ping=179ms
104.25.174.120:2087 ping=179ms
104.25.212.117:2083 ping=179ms
104.27.61.72:8443 ping=179ms
104.27.91.152:2087 ping=179ms
104.27.94.13:2083 ping=179ms
104.27.65.65:8443 ping=179ms
104.24.254.196:2083 ping=179ms
104.27.67.217:2053 ping=179ms
104.26.0.140:2083 ping=179ms
104.27.192.178:8443 ping=179ms
104.27.122.94:8443 ping=179ms
172.67.105.44:2087 ping=179ms
172.67.65.119:2083 ping=179ms
172.64.230.57:2083 ping=179ms
172.64.144.130:2087 ping=179ms
172.64.144.130:2096 ping=179ms
172.64.47.140:2096 ping=179ms
172.64.47.140:8443 ping=179ms
172.65.93.212:2096 ping=179ms
172.65.215.186:2096 ping=179ms
172.67.203.231:2096 ping=179ms
172.65.125.237:2083 ping=179ms
173.245.58.114:2053 ping=180ms
173.245.59.63:2083 ping=180ms
141.101.123.136:2096 ping=180ms
108.162.198.171:2083 ping=180ms
108.162.198.171:8443 ping=180ms
108.162.193.176:2053 ping=180ms
108.162.192.112:2087 ping=180ms
108.162.192.112:2096 ping=180ms
108.162.193.255:2053 ping=180ms
190.93.244.190:2083 ping=180ms
190.93.244.76:2083 ping=180ms
190.93.246.86:2083 ping=180ms
190.93.245.196:2053 ping=180ms
188.114.99.121:8443 ping=180ms
188.114.98.54:2083 ping=180ms
188.114.97.93:2087 ping=180ms
188.114.97.37:2096 ping=180ms
198.41.196.164:2053 ping=180ms
198.41.201.23:2053 ping=180ms
198.41.201.23:2087 ping=180ms
162.159.14.124:2083 ping=180ms
162.159.132.93:2083 ping=180ms
162.159.143.90:2087 ping=180ms
104.21.86.163:2096 ping=180ms
104.17.248.125:2096 ping=180ms
104.16.20.189:8443 ping=180ms
104.17.70.56:2087 ping=180ms
104.21.59.160:2053 ping=180ms
104.19.86.144:2053 ping=180ms
104.19.86.144:2096 ping=180ms
104.19.93.226:2053 ping=180ms
104.24.240.218:2087 ping=180ms
104.27.78.66:2087 ping=180ms
104.27.86.123:8443 ping=180ms
104.25.212.117:2087 ping=180ms
104.25.212.117:2096 ping=180ms
104.25.60.33:8443 ping=180ms
104.27.94.13:2053 ping=180ms
104.25.230.171:2053 ping=180ms
104.27.67.217:8443 ping=180ms
104.27.39.137:2053 ping=180ms
104.26.0.140:2053 ping=180ms
104.27.98.200:2087 ping=180ms
172.64.188.188:2096 ping=180ms
172.65.177.77:2083 ping=180ms
172.66.216.112:8443 ping=180ms
172.65.93.212:2087 ping=180ms
172.65.215.186:2087 ping=180ms
172.65.214.173:2096 ping=180ms
172.65.58.181:8443 ping=180ms
173.245.58.160:8443 ping=181ms
188.114.98.57:2096 ping=181ms
198.41.217.86:8443 ping=181ms
104.17.40.123:2083 ping=181ms
104.27.91.152:8443 ping=181ms
172.67.98.22:2083 ping=181ms
172.65.125.237:2096 ping=181ms
172.67.235.227:2083 ping=181ms
190.93.246.79:2053 ping=182ms
188.114.98.164:2053 ping=182ms
104.17.70.56:2053 ping=182ms
104.17.193.116:2096 ping=182ms
104.25.60.33:2087 ping=182ms
104.27.61.72:2087 ping=182ms
104.27.65.65:2053 ping=182ms
104.24.129.138:8443 ping=182ms
172.64.144.130:8443 ping=182ms
198.41.197.226:2096 ping=183ms
104.19.86.144:2083 ping=183ms
104.17.191.32:2096 ping=183ms
104.25.230.171:2087 ping=183ms
198.41.197.226:8443 ping=184ms
104.21.86.163:2053 ping=184ms
108.162.193.255:8443 ping=185ms
104.16.19.163:2053 ping=185ms
104.25.14.212:8443 ping=185ms
162.159.130.179:2083 ping=186ms
162.159.6.60:2083 ping=186ms
108.162.198.108:8443 ping=187ms
190.93.246.79:2083 ping=187ms
190.93.244.105:2083 ping=187ms
188.114.98.164:2087 ping=187ms
188.114.98.76:2087 ping=187ms
104.24.240.218:2083 ping=187ms
104.27.86.123:2053 ping=187ms
104.27.39.137:2083 ping=187ms
173.245.49.250:2053 ping=188ms
141.101.123.232:2083 ping=188ms
141.101.123.136:8443 ping=188ms
188.114.98.164:2083 ping=188ms
188.114.98.54:2053 ping=188ms
198.41.195.85:2053 ping=188ms
104.17.248.125:2083 ping=188ms
104.16.73.230:2096 ping=188ms
104.24.240.218:2096 ping=188ms
172.65.12.182:2083 ping=188ms
172.64.47.140:2087 ping=188ms
172.65.93.212:2083 ping=188ms
172.67.203.231:2083 ping=188ms
173.245.58.160:2083 ping=189ms
173.245.49.232:2053 ping=189ms
173.245.49.232:2083 ping=189ms
173.245.58.94:2053 ping=189ms
173.245.59.63:2096 ping=189ms
173.245.59.177:2083 ping=189ms
108.162.192.16:2083 ping=189ms
108.162.198.171:2087 ping=189ms
190.93.244.190:2087 ping=189ms
190.93.246.86:443 ping=189ms
190.93.245.196:2083 ping=189ms
188.114.99.121:2053 ping=189ms
188.114.98.76:8443 ping=189ms
188.114.98.54:2087 ping=189ms
188.114.97.80:2087 ping=189ms
188.114.97.80:2096 ping=189ms
188.114.97.80:8443 ping=189ms
162.159.14.124:8443 ping=189ms
162.159.130.179:8443 ping=189ms
162.159.196.15:2083 ping=189ms
162.159.132.93:2087 ping=189ms
104.19.130.97:2096 ping=189ms
104.17.248.125:2053 ping=189ms
104.16.144.132:2087 ping=189ms
104.17.193.116:2087 ping=189ms
104.21.59.160:2083 ping=189ms
104.21.59.160:2096 ping=189ms
104.24.240.218:8443 ping=189ms
104.25.60.33:2053 ping=189ms
104.27.64.34:8443 ping=189ms
104.25.32.13:2096 ping=189ms
172.67.105.44:2083 ping=189ms
172.65.251.238:2096 ping=189ms
172.67.65.119:2087 ping=189ms
172.67.65.119:8443 ping=189ms
172.64.230.57:2053 ping=189ms
172.64.230.57:2087 ping=189ms
172.66.216.112:2053 ping=189ms
172.66.216.112:2096 ping=189ms
172.67.203.231:8443 ping=189ms
172.67.151.208:2083 ping=189ms
172.67.151.208:2087 ping=189ms
172.65.214.173:8443 ping=189ms
172.67.235.227:8443 ping=189ms
173.245.49.250:2096 ping=190ms
173.245.58.166:8443 ping=190ms
141.101.123.232:2096 ping=190ms
141.101.115.5:2083 ping=190ms
141.101.115.35:2053 ping=190ms
190.93.247.33:8443 ping=190ms
188.114.98.76:2083 ping=190ms
198.41.201.43:2083 ping=190ms
198.41.196.164:2087 ping=190ms
198.41.197.226:2053 ping=190ms
162.159.159.122:8443 ping=190ms
104.21.86.163:8443 ping=190ms
104.19.130.97:2087 ping=190ms
104.16.10.104:2087 ping=190ms
104.18.121.153:2083 ping=190ms
104.17.7.152:2053 ping=190ms
104.21.110.178:2096 ping=190ms
104.24.163.27:2053 ping=190ms
104.24.221.184:2083 ping=190ms
104.24.63.243:2053 ping=190ms
104.24.63.243:2087 ping=190ms
104.25.14.212:2053 ping=190ms
104.24.129.138:2083 ping=190ms
172.67.105.44:8443 ping=190ms
